X,Y,kat,icon_url
27.8870293396802,39.6474747812133,,./0.png
27.886975020387,39.6470851836196,,./0.png
27.8866547416651,39.6468292098067,,./0.png
27.8863435876269,39.6471910833625,,./0.png
27.8860050326045,39.6471459874265,,./0.png
27.8860930495076,39.6472769092168,,./0.png
27.8858587186823,39.6472796508669,,./0.png
27.8857490124094,39.6471889435193,,./0.png
27.8856678971569,39.647308759155,,./0.png
27.8854838797672,39.6472910913224,,./0.png
27.8851922483131,39.6473467138406,,./0.png
27.884367497417,39.6474798225227,,./0.png
27.8842897456237,39.6474766005146,,./0.png
27.8837260897387,39.6474908071062,,./0.png
27.883860952901,39.6474746195231,,./0.png
27.8835529681744,39.647524736436,,./0.png
27.8834337656404,39.647550245382,,./0.png
27.8833461732506,39.6475589216112,,./0.png
27.8832405270847,39.6475737430334,,./0.png
27.883043953444,39.6475677998238,,./0.png
27.8828348133555,39.647533916715,,./0.png
27.8829951571828,39.6474262789454,,./0.png
27.8826017369641,39.6475966219345,,./0.png
27.8821986118158,39.6477119393336,,./0.png
27.8821688212279,39.6476681104713,,./0.png
27.8825147729007,39.6478972009194,,./0.png
27.8826684238063,39.6478742918507,,./0.png
27.8827824183123,39.6478757140663,,./0.png
27.8829989951776,39.6477958749785,,./0.png
27.8830673306296,39.6478151894894,,./0.png
27.8832474816419,39.6477810164114,,./0.png
27.8834319724076,39.6477582538374,,./0.png
27.8835260224847,39.6477724142014,,./0.png
27.8834538127528,39.6478654598719,,./0.png
27.8836456959163,39.6477257313291,,./0.png
27.8838805235187,39.647713455818,,./0.png
27.8840495616913,39.6477655697741,,./0.png
27.8841567786376,39.6477094457457,,./0.png
27.8842881290105,39.6477079691487,,./0.png
27.8843903446087,39.6477434270062,,./0.png
27.8844034718439,39.6476603660952,,./0.png
27.8845771133044,39.6476380645435,,./0.png
27.8846801742253,39.6476430010338,,./0.png
27.8851056465998,39.6475877898491,,./0.png
27.8851745950114,39.6475777289644,,./0.png
27.8853581023016,39.6475553510572,,./0.png
27.8855146396083,39.6475460521854,,./0.png
27.8856766535218,39.6475309898964,,./0.png
27.8857718192179,39.6475455219647,,./0.png
27.8857692506821,39.6474892803775,,./0.png
27.8859099781378,39.6474977425135,,./0.png
27.8860976172218,39.6475091848571,,./0.png
27.8863449685113,39.6476083760927,,./0.png
27.8863761785527,39.6475409113939,,./0.png
27.8865122257266,39.6474726456498,,./0.png
27.8864535239438,39.6476571340885,,./0.png
27.8866097505153,39.6474304212146,,./0.png
